"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.js", "JavaScript", 0, 0, 13872, 0, 0, 2110, 3088, 19070
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.min.css", "CSS", 0, 0, 0, 1, 0, 5, 1, 7
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.min.js", "JavaScript", 0, 0, 1, 0, 0, 4, 1, 6
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.structure.css", "CSS", 0, 0, 0, 821, 0, 36, 30, 887
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.structure.min.css", "CSS", 0, 0, 0, 1, 0, 3, 1, 5
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.theme.css", "CSS", 0, 0, 0, 403, 0, 30, 14, 447
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/jquery-ui.theme.min.css", "CSS", 0, 0, 0, 1, 0, 3, 1, 5
"/opt/lampp/htdocs/DocManager/jquery-ui-1.13.3.custom/package.json", "JSON", 0, 0, 0, 0, 84, 0, 1, 85
"/opt/lampp/htdocs/DocManager/package-lock.json", "JSON", 0, 0, 0, 0, 2043, 0, 1, 2044
"/opt/lampp/htdocs/DocManager/package.json", "JSON", 0, 0, 0, 0, 22, 0, 1, 23
"Total", "-", 1, 3633, 46194, 38731, 2149, 10391, 19930, 121029
